Flight No.,Date andtime (UTC),"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,,CCSFS,,"~5,000 kg",SSO,SpaceX,,,,,,,,,,Transporter-1,"Success
",<function booster_version at 0x00000229A6C94680>,Success,24 January 2021,15:00
2,,,CCAFS,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,4 June 2010,18:45
3,,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon,Success,<function booster_version at 0x00000229A6C94680>,Failure,8 December 2010,18:45
4,,,CCAFS,,525 kg,LEO,NASA,,,,,,,,,,Dragon,Success,<function booster_version at 0x00000229A6C94680>,"Not attempted
",22 May 2012,15:43
5,,,CCAFS,,"4,700 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-1,"Success
",<function booster_version at 0x00000229A6C94680>,No attempt,8 October 2012,07:44
6,,,CCAFS,,"4,877 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-2,"Success
",<function booster_version at 0x00000229A6C94680>,"Not attempted
",1 March 2013,00:35
7,,,CCAFS,,500 kg,Polar orbit,MDA,,,,,,,,,,CASSIOPE,Success,<function booster_version at 0x00000229A6C94680>,Uncontrolled,29 September 2013,15:10
8,,,VAFB,,"3,170 kg",GTO,SES,,,,,,,,,,SES-8,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,3 December 2013,16:00
9,,,CCAFS,,"3,325 kg",GTO,Thaicom,,,,,,,,,,Thaicom 6,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,6 January 2014,22:41
10,,,CCAFS,,"2,296 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-3,"Success
",<function booster_version at 0x00000229A6C94680>,Controlled,18 April 2014,22:06
11,,,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,Success,<function booster_version at 0x00000229A6C94680>,Controlled,14 July 2014,19:25
12,,,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,,,,,,,,,,AsiaSat 8,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,5 August 2014,15:15
13,,,Cape Canaveral,,"4,428 kg",GTO,AsiaSat,,,,,,,,,,AsiaSat 6,Success,<function booster_version at 0x00000229A6C94680>,"Not attempted
",7 September 2014,08:00
14,,,Cape Canaveral,,"2,216 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-4,Success,<function booster_version at 0x00000229A6C94680>,Uncontrolled,21 September 2014,05:00
15,,,Cape Canaveral,,"2,395 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-5,Success,<function booster_version at 0x00000229A6C94680>,Failure ,10 January 2015,05:52
16,,,Cape Canaveral,,570 kg,HEO,USAF,,,,,,,,,,DSCOVR,"Success
",<function booster_version at 0x00000229A6C94680>,Controlled,11 February 2015,09:47
17,,,Cape Canaveral,,"4,159 kg",GTO,ABS,,,,,,,,,,ABS-3A,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,2 March 2015,23:03
18,,,Cape Canaveral,,"1,898 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-6,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,14 April 2015,03:50
19,,,Cape Canaveral,,"4,707 kg",GTO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,27 April 2015,20:10
20,,,Cape Canaveral,,"1,952 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-7,Failure,<function booster_version at 0x00000229A6C94680>,Precluded,28 June 2015,23:03
21,,,Cape Canaveral,,"2,034 kg",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,"Success
",<function booster_version at 0x00000229A6C94680>,Success,22 December 2015,14:21
22,,,Cape Canaveral,,553 kg,LEO,NASA,,,,,,,,,,Jason-3,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,17 January 2016,01:29
23,,,VAFB,,"5,271 kg",GTO,SES,,,,,,,,,,SES-9,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,4 March 2016,18:42
24,,,Cape Canaveral,,"3,136 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-8,Success,<function booster_version at 0x00000229A6C94680>,Success,8 April 2016,23:35
25,,,Cape Canaveral,,"4,696 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-14,"Success
",<function booster_version at 0x00000229A6C94680>,Success,6 May 2016,20:43
26,,,Cape Canaveral,,"3,100 kg",GTO,Thaicom,,,,,,,,,,Thaicom 8,"Success
",<function booster_version at 0x00000229A6C94680>,Success,27 May 2016,05:21
27,,,Cape Canaveral,,"3,600 kg",GTO,ABS,,,,,,,,,,ABS-2A,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,15 June 2016,21:39
28,,,Cape Canaveral,,"2,257 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-9,"Success
",<function booster_version at 0x00000229A6C94680>,Success,18 July 2016,14:29
29,,,Cape Canaveral,,"4,600 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-16,"Success
",<function booster_version at 0x00000229A6C94680>,Success,14 August 2016,04:45
30,,,Cape Canaveral,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,14 January 2017,05:26
31,,,VAFB,,"2,490 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-10,"Success
",<function booster_version at 0x00000229A6C94680>,Success,19 February 2017,17:54
32,,,KSC,,"5,600 kg",GTO,EchoStar,,,,,,,,,,EchoStar 23,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,16 March 2017,14:39
33,,,KSC,,"5,300 kg",GTO,SES,,,,,,,,,,SES-10,Success,<function booster_version at 0x00000229A6C94680>,Success,30 March 2017,06:00
34,,,KSC,,C,LEO,NRO,,,,,,,,,,NROL-76,"Success
",<function booster_version at 0x00000229A6C94680>,Success,1 May 2017,22:27
35,,,KSC,,"6,070 kg",GTO,Inmarsat,,,,,,,,,,Inmarsat-5 F4,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,15 May 2017,11:15
